id,address,city,state,postcode
0,22525 MIRROR LAKE DR,Anchorage,AK,99567
1,22528 SARAH CIR,Anchorage,AK,99567
2,22522 SARAH CIR,Anchorage,AK,99567
3,22540 WHISPERING BIRCH CIR,Anchorage,AK,99567
4,22555 MARGARET MIELKE ST,Anchorage,AK,99567
5,22524 MILLER RD,Anchorage,AK,99567
6,22533 DAVIDSON DR,Anchorage,AK,99567
7,22566 SAMPSON DR,Anchorage,AK,99567
8,21921 REBECCA CIR,Anchorage,AK,99567
9,26735 PARADIS LN,Anchorage,AK,99567
10,26525 PARADIS LN,Anchorage,AK,99567
11,26755 KERRY LOOP,Anchorage,AK,99567
12,26465 PARADIS LN,Anchorage,AK,99567
13,26445 PARADIS LN,Anchorage,AK,99567
14,26535 KERRY LOOP,Anchorage,AK,99567
15,26715 KERRY LOOP,Anchorage,AK,99567
16,23980 OLD GLENN HWY,Anchorage,AK,99567
17,23001 CAMP GORSUCH RD,Anchorage,AK,99567
18,23101 OLD GLENN HWY,Anchorage,AK,99567
19,22700 CAMP GORSUCH RD,Anchorage,AK,99567
20,22454 HILLTOP CIR,Anchorage,AK,99567
21,22424 HILLTOP CIR,Anchorage,AK,99567
22,22412 HILLTOP CIR,Anchorage,AK,99567
23,22329 MIRROR LAKE DR,Anchorage,AK,99567
24,22339 MIRROR LAKE DR,Anchorage,AK,99567
25,22349 MIRROR LAKE DR,Anchorage,AK,99567
26,22359 MIRROR LAKE DR,Anchorage,AK,99567
27,22411 MIRROR LAKE DR,Anchorage,AK,99567
28,22421 MIRROR LAKE DR,Anchorage,AK,99567
29,22245 ANTHEM PL,Anchorage,AK,99567
30,22228 BEAR MOUNTAIN VIEW CIR,Anchorage,AK,99567
31,22257 BANNER CIR,Anchorage,AK,99567
32,22257 BANNER CIR,Anchorage,AK,99567
33,22246 BANNER CIR,Anchorage,AK,99567
34,22215 BEAR MOUNTAIN VIEW CIR,Anchorage,AK,99567
35,22227 BANNER CIR,Anchorage,AK,99567
36,22200 BEAR MOUNTAIN VIEW CIR,Anchorage,AK,99567
37,22207 BANNER CIR,Anchorage,AK,99567
38,22110 ANTHEM PL,Anchorage,AK,99567
39,25037 MOUNT EKLUTNA DR,Anchorage,AK,99567
40,25115 MOUNT EKLUTNA DR,Anchorage,AK,99567
41,25135 MOUNT EKLUTNA DR,Anchorage,AK,99567
42,22901 LAKE HILL DR,Anchorage,AK,99567
43,23951 REESE RD,Anchorage,AK,99567
44,22216 RANKIN RD,Anchorage,AK,99567
45,22748 SAMPSON DR,Anchorage,AK,99567
46,21408 CONLEY AVE,Anchorage,AK,99567
47,21324 CONLEY AVE,Anchorage,AK,99567
48,21354 CONLEY AVE,Anchorage,AK,99567
49,22738 JUDD DR,Anchorage,AK,99567
50,22737 OAK KNOLL DR,Anchorage,AK,99567
51,23345 MULEY CIR,Anchorage,AK,99567
52,22724 MILLER RD,Anchorage,AK,99567
53,22651 GABRIEL CIR,Anchorage,AK,99567
54,22655 GABRIEL CIR,Anchorage,AK,99567
55,22714 ROBINSON RD,Anchorage,AK,99567
56,22738 URSA MAJOR CIR,Anchorage,AK,99567
57,22722 OAK KNOLL DR,Anchorage,AK,99567
58,22722 JUDD DR,Anchorage,AK,99567
59,22719 ROBINSON RD,Anchorage,AK,99567
60,22724 KNIK VISTA ST,Anchorage,AK,99567
61,22652 GABRIEL CIR,Anchorage,AK,99567
62,22713 MARGARET MIELKE ST,Anchorage,AK,99567
63,22704 MILLER RD,Anchorage,AK,99567
64,22709 OAK KNOLL DR,Anchorage,AK,99567
65,22631 GABRIEL CIR,Anchorage,AK,99567
66,22700 LAKE HILL DR,Anchorage,AK,99567
67,21925 JUDD CIR,Anchorage,AK,99567
68,22706 OAK KNOLL DR,Anchorage,AK,99567
69,22700 KNIK VISTA ST,Anchorage,AK,99567
70,22700 JUDD DR,Anchorage,AK,99567
71,24515 GRACE ST,Anchorage,AK,99567
72,22706 URSA MAJOR CIR,Anchorage,AK,99567
73,22686 ROBINSON RD,Anchorage,AK,99567
74,22611 GABRIEL CIR,Anchorage,AK,99567
75,22625 LAKE HILL DR,Anchorage,AK,99567
76,22639 OAK KNOLL DR,Anchorage,AK,99567
77,22612 GABRIEL CIR,Anchorage,AK,99567
78,22626 LAKE HILL DR,Anchorage,AK,99567
79,22641 KNIK VISTA ST,Anchorage,AK,99567
80,22640 KNIK VISTA ST,Anchorage,AK,99567
81,22636 OAK KNOLL DR,Anchorage,AK,99567
82,22635 DAVIDSON DR,Anchorage,AK,99567
