id,address_x,city,state_x,postcode,address_y,result,match_type,address_match,tiger,side,state_y,county,tract,block,lat,long
5000,20239 GLACIER PARK CIR,Anchorage,AK,99577,"20239 GLACIER PARK CIR, Anchorage, AK, 99577",Match,Non_Exact,"20239 GLACIER PARK CIR, EAGLE RIVER, AK, 99577",605336517,L,02,020,000203,3002,-149.50526000000002,61.300438
5001,20243 GLACIER PARK CIR,Anchorage,AK,99577,"20243 GLACIER PARK CIR, Anchorage, AK, 99577",Match,Non_Exact,"20243 GLACIER PARK CIR, EAGLE RIVER, AK, 99577",605336517,L,02,020,000203,3002,-149.50522,61.300422999999995
5002,20251 GLACIER PARK CIR,Anchorage,AK,99577,"20251 GLACIER PARK CIR, Anchorage, AK, 99577",Match,Non_Exact,"20251 GLACIER PARK CIR, EAGLE RIVER, AK, 99577",605336517,L,02,020,000203,3002,-149.50513,61.300396
5003,20692 DRIFTWOOD BAY DR,Anchorage,AK,99577,"20692 DRIFTWOOD BAY DR, Anchorage, AK, 99577",Match,Non_Exact,"20692 DRIFTWOOD BAY DR, EAGLE RIVER, AK, 99577",625727882,L,02,020,000203,3000,-149.49563999999998,61.300587
5004,20247 GLACIER PARK CIR,Anchorage,AK,99577,"20247 GLACIER PARK CIR, Anchorage, AK, 99577",Match,Non_Exact,"20247 GLACIER PARK CIR, EAGLE RIVER, AK, 99577",605336517,L,02,020,000203,3002,-149.50517,61.30040699999999
5005,19543 TRAIL BAY DR,Anchorage,AK,99577,"19543 TRAIL BAY DR, Anchorage, AK, 99577",Match,Non_Exact,"19543 TRAIL BAY DR, EAGLE RIVER, AK, 99577",190827417,L,02,020,000203,3023,-149.51826,61.299983999999995
5006,19712 DRIFTWOOD BAY DR,Anchorage,AK,99577,"19712 DRIFTWOOD BAY DR, Anchorage, AK, 99577",Match,Non_Exact,"19712 DRIFTWOOD BAY DR, EAGLE RIVER, AK, 99577",190827412,R,02,020,000203,3011,-149.51483000000002,61.300488
5007,20228 GLACIER PARK CIR,Anchorage,AK,99577,"20228 GLACIER PARK CIR, Anchorage, AK, 99577",Match,Non_Exact,"20228 GLACIER PARK CIR, EAGLE RIVER, AK, 99577",605336517,R,02,020,000203,3002,-149.50517,61.300396
5008,8903 MEADOW PARK CIR,Anchorage,AK,99577,"8903 MEADOW PARK CIR, Anchorage, AK, 99577",Match,Non_Exact,"8903 MEADOW PARK CIR, EAGLE RIVER, AK, 99577",605288529,R,02,020,000203,3013,-149.5104,61.300278000000006
5009,4401 UPPER KOGRU DR,Anchorage,AK,99577,"4401 UPPER KOGRU DR, Anchorage, AK, 99577",Match,Non_Exact,"4401 UPPER KOGRU DR, EAGLE RIVER, AK, 99577",190815222,R,02,020,000204,1005,-149.31671,61.26031
5010,4477 PANTHER DR,Anchorage,AK,99577,"4477 PANTHER DR, Anchorage, AK, 99577",Match,Non_Exact,"4477 PANTHER DR, EAGLE RIVER, AK, 99577",190825943,R,02,020,000204,1005,-149.31476,61.26058199999999
5011,4441 PANTHER DR,Anchorage,AK,99577,"4441 PANTHER DR, Anchorage, AK, 99577",Match,Non_Exact,"4441 PANTHER DR, EAGLE RIVER, AK, 99577",190825943,R,02,020,000204,1005,-149.31375,61.26014
5012,4407 PANTHER DR,Anchorage,AK,99577,"4407 PANTHER DR, Anchorage, AK, 99577",Match,Non_Exact,"4407 PANTHER DR, EAGLE RIVER, AK, 99577",190825943,R,02,020,000204,1005,-149.31541,61.260146999999996
5013,4387 BLYTHE WAY,Anchorage,AK,99577,"4387 BLYTHE WAY, Anchorage, AK, 99577",Match,Non_Exact,"4387 BLYTHE WAY, EAGLE RIVER, AK, 99577",190820020,R,02,020,000204,1005,-149.29373,61.259994999999996
5014,4251 MARIAH DR,Anchorage,AK,99577,"4251 MARIAH DR, Anchorage, AK, 99577",Match,Non_Exact,"4251 MARIAH DR, EAGLE RIVER, AK, 99577",190820019,L,02,020,000204,1006,-149.29237,61.258
5015,4300 LOWER KOGRU DR,Anchorage,AK,99577,"4300 LOWER KOGRU DR, Anchorage, AK, 99577",Match,Non_Exact,"4300 LOWER KOGRU DR, EAGLE RIVER, AK, 99577",190815212,L,02,020,000204,1005,-149.31816,61.2587
5016,4244 HARCA ST,Anchorage,AK,99577,"4244 HARCA ST, Anchorage, AK, 99577",Match,Non_Exact,"4244 HARCA ST, EAGLE RIVER, AK, 99577",190825526,L,02,020,000204,1005,-149.30356,61.258759999999995
5017,4272 LOWER KOGRU DR,Anchorage,AK,99577,"4272 LOWER KOGRU DR, Anchorage, AK, 99577",Match,Non_Exact,"4272 LOWER KOGRU DR, EAGLE RIVER, AK, 99577",190815212,L,02,020,000204,1005,-149.3173,61.258488
5018,7505 BOUNDARY AVE,Anchorage,AK,99504,"7505 BOUNDARY AVE, Anchorage, AK, 99504",Match,Exact,"7505 BOUNDARY AVE, ANCHORAGE, AK, 99504",605167228,L,02,020,000702,1001,-149.74295,61.224180000000004
5019,7505 BOUNDARY AVE,Anchorage,AK,99504,"7505 BOUNDARY AVE, Anchorage, AK, 99504",Match,Exact,"7505 BOUNDARY AVE, ANCHORAGE, AK, 99504",605167228,L,02,020,000702,1001,-149.74295,61.224180000000004
5020,7505 BOUNDARY AVE,Anchorage,AK,99504,"7505 BOUNDARY AVE, Anchorage, AK, 99504",Match,Exact,"7505 BOUNDARY AVE, ANCHORAGE, AK, 99504",605167228,L,02,020,000702,1001,-149.74295,61.224180000000004
